term_str|n|p|s|i|max_pos|max_pos_group|df|dfidf|stop|porter_stem
the|101699|0.057623029493988905|17.35417260740027|4.117210678512268|DT|DT|344|0.0|1|the
and|51225|0.029024274435634385|34.45391898487067|5.106596187496832|CC|CC|344|0.0|1|and
to|39497|0.02237914626421184|44.684457047370685|5.4817011893800345|TO|TO|344|0.0|1|to
a|39269|0.02224996062104298|44.94389976826505|5.4900534070384435|DT|DT|344|0.0|1|a
of|35196|0.019942183758644955|50.144959654506195|5.648032789804692|IN|IN|344|0.0|1|of
he|29566|0.01675220493829119|59.69363458026111|5.899505193059085|PRP|PR|344|0.0|1|he
his|25846|0.01464443918132565|68.28530526967423|6.093503244479088|PRP$|PR|344|0.0|1|hi
was|21981|0.012454515888134298|80.29216141212866|6.327187245222209|VBD|VB|344|0.0|1|wa
i|21587|0.012231274031079346|81.75763190809283|6.353281504422088|PRP|PR|344|0.0|1|i
you|20688|0.01172189730647934|85.3104215003867|6.414650086472549|PRP|PR|344|0.0|1|you
her|18922|0.010721275175618817|93.27248705210864|6.543379681354789|PRP$|PR|338|8.580237625930847|1|her
in|17777|0.010072513941283992|99.28008100354391|6.63343238746445|IN|IN|344|0.0|1|in
s|17769|0.01006798111169912|99.3247791096854|6.634081774766648|NN|NN|344|0.0|1|s
it|17204|0.009747850022267525|102.5867240176703|6.680700230338154|PRP|PR|344|0.0|1|it
had|16906|0.009579002120231038|104.39500768957767|6.705908911704554|VBD|VB|344|0.0|1|had
that|16422|0.009304765930346274|107.47180611374985|6.74781442619669|IN|IN|344|0.0|1|that
she|15435|0.008745528080312674|114.34415289925495|6.837238783780316|PRP|PR|338|8.580237625930847|1|she
as|15037|0.008520019808465286|117.37061913945601|6.874927500039446|IN|IN|344|0.0|1|as
with|13176|0.007465570326284405|133.9482392228294|7.065531806556448|IN|IN|344|0.0|1|with
him|12450|0.00705421604145726|141.7591967871486|7.147298524439997|PRP|PR|344|0.0|1|him
not|12221|0.006924463794590294|144.4155142787006|7.174081926256414|RB|RB|344|0.0|1|not
but|11261|0.006380524244405638|156.72693366486104|7.292109319334585|CC|CC|344|0.0|1|but
for|10808|0.006123852769162254|163.2958919319023|7.351344686957119|IN|IN|344|0.0|1|for
